figure_id,format,path,bytes,sha256,width_px,height_px,dpi_x,dpi_y,status,detail
Figure S2,svg,02_revision_outputs/reports/W3_deep_k_stability/Figure_S2_cross_cohort_k_stability.svg,64454,b8b16beb23a96ace67b37f9d8f8ac009abf13fb5a481ccb9d192296390a63ef0,,,,,PASS,66 editable text nodes; 7.32in wide
Figure S2,pdf,02_revision_outputs/reports/W3_deep_k_stability/Figure_S2_cross_cohort_k_stability.pdf,45334,66e1a1b8531bd4d498a675b1e653be904664159dc0984a6b750ce44741b090ae,,,,,PASS,valid non-empty export
Figure S2,tiff,02_revision_outputs/reports/W3_deep_k_stability/Figure_S2_cross_cohort_k_stability.tiff,800502,7fed39a0cab1817c7b5ec8b75e4fcce7e0741fa58b0e98c6429414f4a1ec1ebc,4389,3114,600.0,600.0,PASS,4389x3114px; 600.0x600.0dpi
Figure S2,png,02_revision_outputs/reports/W3_deep_k_stability/Figure_S2_cross_cohort_k_stability.png,198411,e3bb7ec11da9da9b789b4b48a211669886c7e711a524cb0c1be6f5789db051d6,2560,1816,350.012,350.012,PASS,2560x1816px
Figure S10,svg,02_revision_outputs/reports/W3_cross_cohort_robustness/cross_cohort_robustness_matrix.svg,31792,242a0bf6ec6028655345ee7a1f9e81e5c8091319392c19f6f4d9afd31f5ee2e4,,,,,PASS,39 editable text nodes; 6.33in wide
Figure S10,pdf,02_revision_outputs/reports/W3_cross_cohort_robustness/cross_cohort_robustness_matrix.pdf,41412,7272839ca80939cbe9701befea037583263cc38e3d3ba435726d44f7fc1c72a8,,,,,PASS,valid non-empty export
Figure S10,tiff,02_revision_outputs/reports/W3_cross_cohort_robustness/cross_cohort_robustness_matrix.tiff,604224,4fb038b9ce845889c0e3f584f53ca3e4d9f21bbf5a4f5453c6853a68491c4e72,3797,2023,600.0,600.0,PASS,3797x2023px; 600.0x600.0dpi
Figure S10,png,02_revision_outputs/reports/W3_cross_cohort_robustness/cross_cohort_robustness_matrix.png,142538,d7642074c9dd489558aa93eb674d41ffc73abf8c71c00e5661953c523b0c2705,2214,1180,350.012,350.012,PASS,2214x1180px
Figure S11a,svg,02_revision_outputs/reports/W3_cluster_robustness/documented_windows_cluster_sensitivity.svg,116839,9b08a8b227abc7270849211a1526116328fa3c30be2b5539017facf2261208ee,,,,,PASS,111 editable text nodes; 7.32in wide
Figure S11a,pdf,02_revision_outputs/reports/W3_cluster_robustness/documented_windows_cluster_sensitivity.pdf,55040,e5efe91f7041f60f3df497a53d7b09a85c22366800a8bc8a3399718cce26b455,,,,,PASS,valid non-empty export
Figure S11a,tiff,02_revision_outputs/reports/W3_cluster_robustness/documented_windows_cluster_sensitivity.tiff,1947116,e2ac35958aed262384d602de799babc79520891549c6a0f42b6037a53ce85fe3,4390,3985,600.0,600.0,PASS,4390x3985px; 600.0x600.0dpi
Figure S11a,png,02_revision_outputs/reports/W3_cluster_robustness/documented_windows_cluster_sensitivity.png,637222,4135685f96ae75e3900381b34e0b0f51d9d0210f6c47e6d6ebbcedf6e3563295,2560,2324,350.012,350.012,PASS,2560x2324px
Figure S11b,svg,02_revision_outputs/reports/W3_cluster_robustness/high_coverage_cluster_sensitivity.svg,100744,6a21422abd270be25c4dab9cbd809db787ee9f16dd5065048fcdca95d1fce57f,,,,,PASS,113 editable text nodes; 7.32in wide
Figure S11b,pdf,02_revision_outputs/reports/W3_cluster_robustness/high_coverage_cluster_sensitivity.pdf,51638,9456c15a8b1e5ff4842089d7f5462bb6b1f0d0d613aec03481ef6fdf2cded47d,,,,,PASS,valid non-empty export
Figure S11b,tiff,02_revision_outputs/reports/W3_cluster_robustness/high_coverage_cluster_sensitivity.tiff,1738176,b42e557c48d70c73bafd1ab0373315bab57847ed42aa1d969c7038cf53563fa0,4390,3985,600.0,600.0,PASS,4390x3985px; 600.0x600.0dpi
Figure S11b,png,02_revision_outputs/reports/W3_cluster_robustness/high_coverage_cluster_sensitivity.png,531026,d46fe414dec23381aca3df3ad95360e6baa42395e6dc8d53d9a02aea184a5027,2560,2324,350.012,350.012,PASS,2560x2324px
Figure S12,svg,02_revision_outputs/reports/W4_classifier_validation/Figure_S12_archived_model_calibration_comparator.svg,52507,dc65eefc8ef49178b026a901cf07b1658cfc0bb8348a7ed69a59701a70f46116,,,,,PASS,74 editable text nodes; 7.01in wide
Figure S12,pdf,02_revision_outputs/reports/W4_classifier_validation/Figure_S12_archived_model_calibration_comparator.pdf,43709,2d3523f0442f2c564768b0aad7bad637e9f697c7cd8c5676609c8066addd38a0,,,,,PASS,valid non-empty export
Figure S12,tiff,02_revision_outputs/reports/W4_classifier_validation/Figure_S12_archived_model_calibration_comparator.tiff,1188816,24d00f3a4c58acf2bf9e445d57c31568979d5b01007481f52202a5622f445ec6,4208,3454,600.0,600.0,PASS,4208x3454px; 600.0x600.0dpi
Figure S12,png,02_revision_outputs/reports/W4_classifier_validation/Figure_S12_archived_model_calibration_comparator.png,356636,cf54a91e389684d532dc53c613378d885cb7a5c05087ba606d99a27aac5c041a,2455,2014,350.012,350.012,PASS,2455x2014px
Figure S13,svg,02_revision_outputs/reports/W5_independent_outcomes/W5_adjusted_outcomes_forest.svg,31628,c2526b4ce432dfc4551638eadb0baa59f0482a332850fe00a924d111d0097ca2,,,,,PASS,31 editable text nodes; 7.32in wide
Figure S13,pdf,02_revision_outputs/reports/W5_independent_outcomes/W5_adjusted_outcomes_forest.pdf,40839,59ae76696f2dad6f48aae548aaf50d7650ee9c105f690c2c8667c5000c4eff4e,,,,,PASS,valid non-empty export
Figure S13,tiff,02_revision_outputs/reports/W5_independent_outcomes/W5_adjusted_outcomes_forest.tiff,801298,0f268743433c612f79b7feddea6f3c64e99d571e1ecb29fb4c7f0a188a7c23fb,4389,2199,600.0,600.0,PASS,4389x2199px; 600.0x600.0dpi
Figure S13,png,02_revision_outputs/reports/W5_independent_outcomes/W5_adjusted_outcomes_forest.png,159204,3f266eed4e512edc369e5765f642470f49ba91c9cb65c28ae42063b5a60bcd3f,2560,1283,350.012,350.012,PASS,2560x1283px
Figure S14,svg,02_revision_outputs/reports/W6_diuretic_exploratory/W6_early_diuretic_response_forest.svg,26236,a22bf0186f167b746674288914ee50ff54ee0194b815a55266b62dc45493e089,,,,,PASS,18 editable text nodes; 7.31in wide
Figure S14,pdf,02_revision_outputs/reports/W6_diuretic_exploratory/W6_early_diuretic_response_forest.pdf,35363,54000898f4a132768df9b301e56a7f177d4f35ef4847b765da4e35856a7e6dc4,,,,,PASS,valid non-empty export
Figure S14,tiff,02_revision_outputs/reports/W6_diuretic_exploratory/W6_early_diuretic_response_forest.tiff,476940,f1a5ca6d37b5801aace35501ed8f578f9ad02255e3016927ed823e50393acacf,4389,1985,600.0,600.0,PASS,4389x1985px; 600.0x600.0dpi
Figure S14,png,02_revision_outputs/reports/W6_diuretic_exploratory/W6_early_diuretic_response_forest.png,73769,00078836cd7952fd60e77797fe3a424cda0e8fa708a243eb13eae2fc425bc4e7,2560,1157,350.012,350.012,PASS,2560x1157px
