feature,cohort,missing_fraction
spo2,aumcdb,0.0
fio2,aumcdb,0.0
po2,aumcdb,0.0
resp_rate,aumcdb,0.0
sodium,aumcdb,0.0
chloride,aumcdb,0.0
potassium,aumcdb,0.0
calcium,aumcdb,0.0
urineoutput,aumcdb,0.0
creatinine,aumcdb,0.0
Scr/bScr,aumcdb,0.0
bun,aumcdb,1.0
heart_rate,aumcdb,0.0
dbp,aumcdb,0.0
sbp,aumcdb,0.0
mbp,aumcdb,0.0
wbc,aumcdb,0.0
temperature,aumcdb,0.0
pco2,aumcdb,0.0
baseexcess,aumcdb,0.0
ph,aumcdb,0.0
aniongap,aumcdb,0.0
lactate,aumcdb,0.0
bicarbonate,aumcdb,0.0
glucose,aumcdb,0.0
hematocrit,aumcdb,0.0
hemoglobin,aumcdb,0.0
platelets,aumcdb,1.0
bilirubin,aumcdb,0.0
inr,aumcdb,1.0
pt,aumcdb,0.0
ptt,aumcdb,0.0
alp,aumcdb,1.0
ast,aumcdb,1.0
alt,aumcdb,1.0
spo2,eicu,0.0
fio2,eicu,0.0
po2,eicu,0.0
resp_rate,eicu,0.0
sodium,eicu,0.0
chloride,eicu,0.0
potassium,eicu,0.0
calcium,eicu,0.0
urineoutput,eicu,0.0
creatinine,eicu,0.0
Scr/bScr,eicu,0.0
bun,eicu,0.0
heart_rate,eicu,0.0
dbp,eicu,0.0
sbp,eicu,0.0
mbp,eicu,0.0
wbc,eicu,0.0
temperature,eicu,0.0
pco2,eicu,0.0
baseexcess,eicu,0.0
ph,eicu,0.0
aniongap,eicu,0.0
lactate,eicu,0.0
bicarbonate,eicu,0.0
glucose,eicu,0.0
hematocrit,eicu,0.0
hemoglobin,eicu,0.0
platelets,eicu,0.0
bilirubin,eicu,0.0
inr,eicu,0.0
pt,eicu,1.0
ptt,eicu,1.0
alp,eicu,0.0
ast,eicu,0.0
alt,eicu,0.0
spo2,mimic,0.0
fio2,mimic,0.0
po2,mimic,0.0
resp_rate,mimic,0.0
sodium,mimic,0.0
chloride,mimic,0.0
potassium,mimic,0.0
calcium,mimic,0.0
urineoutput,mimic,0.0
creatinine,mimic,0.0
Scr/bScr,mimic,0.0
bun,mimic,0.0
heart_rate,mimic,0.0
dbp,mimic,0.0
sbp,mimic,0.0
mbp,mimic,0.0
wbc,mimic,0.0
temperature,mimic,0.0
pco2,mimic,0.0
baseexcess,mimic,0.0
ph,mimic,0.0
aniongap,mimic,0.0
lactate,mimic,0.0
bicarbonate,mimic,0.0
glucose,mimic,0.0
hematocrit,mimic,0.0
hemoglobin,mimic,0.0
platelets,mimic,0.0
bilirubin,mimic,0.0
inr,mimic,0.0
pt,mimic,0.0
ptt,mimic,0.0
alp,mimic,0.0
ast,mimic,0.0
alt,mimic,0.0
