cohort,feature,source_group,day,generated_value,source_value,_merge,absolute_difference,match
aumcdb,Aniongap,C1,-1,10.341,10.341,both,0.0,True
aumcdb,Aniongap,C1,1,10.3252,10.3252,both,0.0,True
aumcdb,Aniongap,C1,2,9.9103,9.9103,both,0.0,True
aumcdb,Aniongap,C1,3,9.5653,9.5653,both,0.0,True
aumcdb,Aniongap,C1,4,9.3381,9.3381,both,0.0,True
aumcdb,Aniongap,C1,5,8.9685,8.9685,both,0.0,True
aumcdb,Aniongap,C1,6,8.9951,8.9951,both,0.0,True
aumcdb,Aniongap,C1,7,9.0995,9.0995,both,0.0,True
aumcdb,Aniongap,C2,-1,9.0255,9.0255,both,0.0,True
aumcdb,Aniongap,C2,1,8.4667,8.4667,both,0.0,True
aumcdb,Aniongap,C2,2,7.7187,7.7187,both,0.0,True
aumcdb,Aniongap,C2,3,7.4008,7.4008,both,0.0,True
aumcdb,Aniongap,C2,4,7.8123,7.8123,both,0.0,True
aumcdb,Aniongap,C2,5,7.2945,7.2945,both,0.0,True
aumcdb,Aniongap,C2,6,7.4485,7.4485,both,0.0,True
aumcdb,Aniongap,C2,7,7.4825,7.4825,both,0.0,True
aumcdb,Aniongap,C3,-1,11.2349,11.2349,both,0.0,True
aumcdb,Aniongap,C3,1,11.206,11.206,both,0.0,True
aumcdb,Aniongap,C3,2,11.4568,11.4568,both,0.0,True
aumcdb,Aniongap,C3,3,11.4837,11.4837,both,0.0,True
aumcdb,Aniongap,C3,4,11.0712,11.0712,both,0.0,True
aumcdb,Aniongap,C3,5,11.3615,11.3615,both,0.0,True
aumcdb,Aniongap,C3,6,11.2161,11.2161,both,0.0,True
aumcdb,Aniongap,C3,7,11.2889,11.2889,both,0.0,True
aumcdb,Base Excess,C1,-1,0.6071,0.6071,both,0.0,True
aumcdb,Base Excess,C1,1,0.8851,0.8851,both,0.0,True
aumcdb,Base Excess,C1,2,1.2679,1.2679,both,0.0,True
aumcdb,Base Excess,C1,3,1.4811,1.4811,both,0.0,True
aumcdb,Base Excess,C1,4,2.0746,2.0746,both,0.0,True
aumcdb,Base Excess,C1,5,2.6106,2.6106,both,0.0,True
aumcdb,Base Excess,C1,6,3.081,3.081,both,0.0,True
aumcdb,Base Excess,C1,7,3.4849,3.4849,both,0.0,True
aumcdb,Base Excess,C2,-1,1.1641,1.1641,both,0.0,True
aumcdb,Base Excess,C2,1,1.1025,1.1025,both,0.0,True
aumcdb,Base Excess,C2,2,1.6315,1.6315,both,0.0,True
aumcdb,Base Excess,C2,3,2.3604,2.3604,both,0.0,True
aumcdb,Base Excess,C2,4,3.1894,3.1894,both,0.0,True
aumcdb,Base Excess,C2,5,3.8581,3.8581,both,0.0,True
aumcdb,Base Excess,C2,6,4.2739,4.2739,both,0.0,True
aumcdb,Base Excess,C2,7,4.3759,4.3759,both,0.0,True
aumcdb,Base Excess,C3,-1,0.6079,0.6079,both,0.0,True
aumcdb,Base Excess,C3,1,0.2377,0.2377,both,0.0,True
aumcdb,Base Excess,C3,2,0.8838,0.8838,both,0.0,True
aumcdb,Base Excess,C3,3,1.3253,1.3253,both,0.0,True
aumcdb,Base Excess,C3,4,1.0985,1.0985,both,0.0,True
aumcdb,Base Excess,C3,5,0.9381,0.9381,both,0.0,True
aumcdb,Base Excess,C3,6,1.2489,1.2489,both,0.0,True
aumcdb,Base Excess,C3,7,1.6435,1.6435,both,0.0,True
aumcdb,Bicarbonate,C1,-1,21.4884,21.4884,both,0.0,True
aumcdb,Bicarbonate,C1,1,21.33,21.33,both,0.0,True
aumcdb,Bicarbonate,C1,2,22.1505,22.1505,both,0.0,True
aumcdb,Bicarbonate,C1,3,23.5214,23.5214,both,0.0,True
aumcdb,Bicarbonate,C1,4,24.819,24.819,both,0.0,True
aumcdb,Bicarbonate,C1,5,25.8152,25.8152,both,0.0,True
aumcdb,Bicarbonate,C1,6,26.4822,26.4822,both,0.0,True
aumcdb,Bicarbonate,C1,7,26.9635,26.9635,both,0.0,True
aumcdb,Bicarbonate,C2,-1,22.8837,22.8837,both,0.0,True
aumcdb,Bicarbonate,C2,1,23.176,23.176,both,0.0,True
aumcdb,Bicarbonate,C2,2,24.4823,24.4823,both,0.0,True
aumcdb,Bicarbonate,C2,3,25.9694,25.9694,both,0.0,True
aumcdb,Bicarbonate,C2,4,27.0477,27.0477,both,0.0,True
aumcdb,Bicarbonate,C2,5,27.8279,27.8279,both,0.0,True
aumcdb,Bicarbonate,C2,6,28.2195,28.2195,both,0.0,True
aumcdb,Bicarbonate,C2,7,28.335,28.335,both,0.0,True
aumcdb,Bicarbonate,C3,-1,20.4035,20.4035,both,0.0,True
aumcdb,Bicarbonate,C3,1,19.6109,19.6109,both,0.0,True
aumcdb,Bicarbonate,C3,2,19.8161,19.8161,both,0.0,True
aumcdb,Bicarbonate,C3,3,20.3617,20.3617,both,0.0,True
aumcdb,Bicarbonate,C3,4,21.7402,21.7402,both,0.0,True
aumcdb,Bicarbonate,C3,5,22.774,22.774,both,0.0,True
aumcdb,Bicarbonate,C3,6,23.8818,23.8818,both,0.0,True
aumcdb,Bicarbonate,C3,7,24.8188,24.8188,both,0.0,True
aumcdb,Bilirubin,C1,-1,18.8652,18.8652,both,0.0,True
aumcdb,Bilirubin,C1,1,19.8732,19.8732,both,0.0,True
aumcdb,Bilirubin,C1,2,19.605,19.605,both,0.0,True
aumcdb,Bilirubin,C1,3,19.3784,19.3784,both,0.0,True
aumcdb,Bilirubin,C1,4,19.8618,19.8618,both,0.0,True
aumcdb,Bilirubin,C1,5,21.4444,21.4444,both,0.0,True
aumcdb,Bilirubin,C1,6,23.2576,23.2576,both,0.0,True
aumcdb,Bilirubin,C1,7,24.8454,24.8454,both,0.0,True
aumcdb,Bilirubin,C2,-1,12.7655,12.7655,both,0.0,True
aumcdb,Bilirubin,C2,1,12.6645,12.6645,both,0.0,True
aumcdb,Bilirubin,C2,2,11.9711,11.9711,both,0.0,True
aumcdb,Bilirubin,C2,3,11.3476,11.3476,both,0.0,True
aumcdb,Bilirubin,C2,4,11.0745,11.0745,both,0.0,True
aumcdb,Bilirubin,C2,5,10.7834,10.7834,both,0.0,True
aumcdb,Bilirubin,C2,6,10.737,10.737,both,0.0,True
aumcdb,Bilirubin,C2,7,10.4763,10.4763,both,0.0,True
aumcdb,Bilirubin,C3,-1,22.8349,22.8349,both,0.0,True
aumcdb,Bilirubin,C3,1,24.733,24.733,both,0.0,True
aumcdb,Bilirubin,C3,2,26.3716,26.3716,both,0.0,True
aumcdb,Bilirubin,C3,3,26.2309,26.2309,both,0.0,True
aumcdb,Bilirubin,C3,4,22.8744,22.8744,both,0.0,True
aumcdb,Bilirubin,C3,5,20.6616,20.6616,both,0.0,True
aumcdb,Bilirubin,C3,6,21.9713,21.9713,both,0.0,True
aumcdb,Bilirubin,C3,7,21.6538,21.6538,both,0.0,True
aumcdb,Calcium,C1,-1,11.1387,11.1387,both,0.0,True
aumcdb,Calcium,C1,1,11.0861,11.0861,both,0.0,True
aumcdb,Calcium,C1,2,11.0398,11.0398,both,0.0,True
aumcdb,Calcium,C1,3,11.1392,11.1392,both,0.0,True
aumcdb,Calcium,C1,4,11.2742,11.2742,both,0.0,True
aumcdb,Calcium,C1,5,11.3353,11.3353,both,0.0,True
aumcdb,Calcium,C1,6,11.4344,11.4344,both,0.0,True
aumcdb,Calcium,C1,7,11.4174,11.4174,both,0.0,True
aumcdb,Calcium,C2,-1,11.2999,11.2999,both,0.0,True
aumcdb,Calcium,C2,1,11.3647,11.3647,both,0.0,True
aumcdb,Calcium,C2,2,11.4812,11.4812,both,0.0,True
aumcdb,Calcium,C2,3,11.5809,11.5809,both,0.0,True
aumcdb,Calcium,C2,4,11.6563,11.6563,both,0.0,True
aumcdb,Calcium,C2,5,11.7017,11.7017,both,0.0,True
aumcdb,Calcium,C2,6,11.7198,11.7198,both,0.0,True
aumcdb,Calcium,C2,7,11.7273,11.7273,both,0.0,True
aumcdb,Calcium,C3,-1,11.0427,11.0427,both,0.0,True
aumcdb,Calcium,C3,1,10.8609,10.8609,both,0.0,True
aumcdb,Calcium,C3,2,10.5825,10.5825,both,0.0,True
