cohort,feature,unit,used_in_executable_clustering_input,missing_fraction,minimum,p01,median,p99,maximum
MIMIC-IV,bun,mg/dL,True,0.0,2.0,5.0,20.0,81.0,203.0
MIMIC-IV,creatinine,mg/dL,True,0.0,0.1,0.4,0.9,3.6,10.0
MIMIC-IV,urineoutput,mL per 6-h window,True,0.0,1.0,9.2,90.0,400.0,490.0
MIMIC-IV,crea_divide_basecrea,ratio,True,0.0,0.1,0.5,1.0,4.2,14.14
eICU-CRD,bun,mg/dL,True,0.0,1.0,3.0,19.0,78.0,120.0
eICU-CRD,creatinine,mg/dL,True,0.0,0.16,0.33,0.83,3.94,9.05
eICU-CRD,urineoutput,mL per 6-h window,True,0.0,0.0,0.0,2.0,800.0,995.0
eICU-CRD,crea_divide_basecrea,ratio,True,0.0,0.18,0.36,0.93,4.62,9.57
AUMC,bun,mg/dL,False,1.0,,,,,
AUMC,creatinine,mg/dL,True,0.0,0.0,0.452,0.9944,4.2488,9.2434
AUMC,urineoutput,mL per 6-h window,True,0.0,1.0,5.0,94.0,435.0,900.0
AUMC,crea_divide_basecrea,ratio,True,0.0,0.0,0.59,1.07,4.12,9.99
