cohort,scenario,seed,archived_patients,refit_patients,retained_fraction,label_mapping,exact_agreement,ari,nmi,uncertain_fraction,confident_patients,confident_agreement,minimum_cluster_prevalence,mean_deviance,high_absolute_lag1_fraction,screening_threshold_status
mimic,zscore_scaling,20260805,4713,4713,1.0,"{""1"": 1, ""2"": 2, ""3"": 3}",0.8875450880543179,0.6566790238741578,0.601922883753446,0.09293443666454487,4275,0.9139181286549708,0.085508168894547,399613.422944146,0.0,PASS
mimic,robust_scaling,20260805,4713,4713,1.0,"{""1"": 1, ""2"": 2, ""3"": 3}",0.8875450880543179,0.6566790238741578,0.601922883753446,0.09293443666454487,4275,0.9139181286549708,0.085508168894547,520354.715447323,0.0,PASS
mimic,exclude_documented_rrt,20260805,4713,4545,0.9643539147040102,"{""1"": 1, ""2"": 2, ""3"": 3}",0.9581958195819582,0.9015411978437243,0.7955286174229901,0.09966996699669967,4092,0.9860703812316716,0.07128712871287128,1333534.13114519,0.0,PASS
mimic,complete_30_window_followup,20260805,4713,1159,0.24591555272650117,"{""1"": 3, ""2"": 2, ""3"": 1}",0.7454702329594478,0.4186264450689069,0.3778989223271284,0.012942191544434857,1144,0.7438811188811189,0.0025884383088869713,795860.825209829,0.666666666666667,CAUTION
mimic,limited_forward_fill_complete_rows,20260805,4713,4705,0.9983025673668576,"{""1"": 3, ""2"": 2, ""3"": 1}",0.7781083953241232,0.4778870897557817,0.3820812002914538,0.015090329436769395,4634,0.7831247302546396,0.0012752391073326248,1851628.83779742,0.583333333333333,CAUTION
eicu,zscore_scaling,20260805,1417,1417,1.0,"{""1"": 1, ""2"": 2, ""3"": 3}",0.9823570924488356,0.9425158994361463,0.9092580441773686,0.136908962597036,1223,0.9991823385118561,0.08539167254763586,135607.812230045,0.0,PASS
eicu,robust_scaling,20260805,1417,1417,1.0,"{""1"": 1, ""2"": 2, ""3"": 3}",0.9837685250529288,0.9460357260689615,0.9140538206218048,0.15102328863796755,1203,1.0,0.08892025405786874,183091.532078977,0.0,PASS
eicu,exclude_documented_rrt,20260805,1417,1379,0.9731827805222301,"{""1"": 1, ""2"": 2, ""3"": 3}",0.9601160261058739,0.870307614225573,0.8243950629900852,0.1312545322697607,1198,0.998330550918197,0.08701957940536621,528625.840212846,0.0,PASS
eicu,complete_30_window_followup,20260805,1417,386,0.27240649258997884,"{""1"": 3, ""2"": 2, ""3"": 1}",0.7098445595854922,0.3961509853715583,0.3885502734686284,0.012953367875647668,381,0.7165354330708661,0.0025906735751295338,289949.418153962,0.625,CAUTION
eicu,limited_forward_fill_complete_rows,20260805,1417,1412,0.9964714184897672,"{""1"": 1, ""2"": 2, ""3"": 3}",0.7025495750708215,0.36289543196471147,0.4113826222639071,0.0339943342776204,1364,0.7258064516129032,0.00424929178470255,536880.630839157,0.0416666666666667,CAUTION
aumc,zscore_scaling,20260805,2183,2183,1.0,"{""1"": 1, ""2"": 2, ""3"": 3}",0.9734310581768209,0.9280531995315311,0.8704838687263141,0.09573980760421438,1974,0.9984802431610942,0.10765002290426019,221336.542043298,0.0,PASS
aumc,robust_scaling,20260805,2183,2183,1.0,"{""1"": 1, ""2"": 2, ""3"": 3}",0.9734310581768209,0.9280531995315311,0.8704838687263141,0.09573980760421438,1974,0.9984802431610942,0.10765002290426019,271418.985003068,0.0,PASS
aumc,exclude_documented_rrt,20260805,2183,1923,0.8808978469995419,"{""1"": 3, ""2"": 2, ""3"": 1}",0.7945917836713469,0.49904850772643455,0.3963658629774813,0.0124804992199688,1899,0.8014744602422328,0.0005200208008320333,584675.664511291,0.666666666666667,CAUTION
aumc,complete_30_window_followup,20260805,2183,543,0.24874026568941823,"{""1"": 3, ""2"": 2, ""3"": 1}",0.8047882136279927,0.5050584267272423,0.4521170639219364,0.016574585635359115,534,0.8127340823970037,0.001841620626151013,239204.228970668,0.5,CAUTION
aumc,limited_forward_fill_complete_rows,20260805,2183,2181,0.9990838295923041,"{""1"": 1, ""2"": 2, ""3"": 3}",0.9046309032553874,0.7807912224895781,0.6313907349730097,0.0687757909215956,2031,0.931560807483998,0.09353507565337002,575379.307241889,0.0,PASS
