cohort,scenario,K,seed,run_profile,features,patients,rows,burn,keep,thin,mean_deviance,high_absolute_lag1_fraction,uncertain_label,uncertain_patients,uncertain_fraction,median_max_posterior_probability,minimum_max_posterior_probability,maximum_max_posterior_probability,sorted_cluster_prevalence,elapsed_seconds,config_sha256,mixak_version,r_version,probability_scale,scaled_deviance,scaled_lag1_failure,deep_selection_score,minimum_cluster_prevalence,diagnostically_admissible,rank_within_cohort_seed,selected_within_seed
aumc,primary_deep,2,20260805,deep_refit,creatinine;urineoutput;crea_divide_basecrea,2183,48517,50,2000,50,598409.466478392,0.0,3,68,0.0311497938616583,0.997254212098371,0.506456242669698,1,0.740266;0.259734,959.767273664474,e4d5586a234e37402d6d6630953824052da2d9c773d4eb63a8bc9ad6fb89462d,5.8,R version 4.4.3 (2025-02-28),native 0-1 (no division),1.0,0.0,1.0,0.259734,True,2.0,False
aumc,primary_deep,2,20260806,deep_refit,creatinine;urineoutput;crea_divide_basecrea,2183,48517,50,2000,50,598411.509808475,0.0,3,67,0.0306917086578104,0.997252861139082,0.503427043071503,1,0.740266;0.259734,941.922743558884,e4d5586a234e37402d6d6630953824052da2d9c773d4eb63a8bc9ad6fb89462d,5.8,R version 4.4.3 (2025-02-28),native 0-1 (no division),1.0,0.0,1.0,0.259734,True,2.0,False
aumc,primary_deep,2,20260807,deep_refit,creatinine;urineoutput;crea_divide_basecrea,2183,48517,50,2000,50,598409.211278144,0.0,3,68,0.0311497938616583,0.997232573696377,0.505530297795394,1,0.740266;0.259734,940.253997087479,e4d5586a234e37402d6d6630953824052da2d9c773d4eb63a8bc9ad6fb89462d,5.8,R version 4.4.3 (2025-02-28),native 0-1 (no division),1.0,0.0,1.0,0.259734,True,2.0,False
aumc,primary_deep,3,20260805,deep_refit,creatinine;urineoutput;crea_divide_basecrea,2183,48517,50,2000,50,597224.40095914,0.0,4,187,0.0856619331195602,0.976156626901453,0.38452403306843,1,0.643152;0.256986;0.099863,1043.26446604729,e4d5586a234e37402d6d6630953824052da2d9c773d4eb63a8bc9ad6fb89462d,5.8,R version 4.4.3 (2025-02-28),native 0-1 (no division),0.0,0.0,0.0,0.099863,True,1.0,True
aumc,primary_deep,3,20260806,deep_refit,creatinine;urineoutput;crea_divide_basecrea,2183,48517,50,2000,50,597158.66996721,0.0,4,151,0.0691708657810353,0.980741741662597,0.383327612530436,1,0.663765;0.251031;0.085204,1069.89772748947,e4d5586a234e37402d6d6630953824052da2d9c773d4eb63a8bc9ad6fb89462d,5.8,R version 4.4.3 (2025-02-28),native 0-1 (no division),0.0,0.0,0.0,0.085204,True,1.0,True
aumc,primary_deep,3,20260807,deep_refit,creatinine;urineoutput;crea_divide_basecrea,2183,48517,50,2000,50,597223.230850206,0.0,4,187,0.0856619331195602,0.97603701067438,0.378582219874053,1,0.642694;0.256986;0.100321,1043.77240848541,e4d5586a234e37402d6d6630953824052da2d9c773d4eb63a8bc9ad6fb89462d,5.8,R version 4.4.3 (2025-02-28),native 0-1 (no division),0.0,0.0,0.0,0.100321,True,1.0,True
eicu,primary_deep,2,20260805,deep_refit,bun;creatinine;urineoutput;crea_divide_basecrea,1417,29246,50,2000,50,556135.922641947,0.0,3,44,0.0310515172900494,0.999217722849377,0.50199445514529,1,0.843331;0.156669,879.577163219452,e4d5586a234e37402d6d6630953824052da2d9c773d4eb63a8bc9ad6fb89462d,5.8,R version 4.4.3 (2025-02-28),native 0-1 (no division),1.0,0.0,1.0,0.156669,True,2.0,False
eicu,primary_deep,2,20260806,deep_refit,bun;creatinine;urineoutput;crea_divide_basecrea,1417,29246,50,2000,50,556135.413906516,0.0,3,43,0.0303458009880028,0.9992150732915,0.511576080443359,1,0.843331;0.156669,887.153454303741,e4d5586a234e37402d6d6630953824052da2d9c773d4eb63a8bc9ad6fb89462d,5.8,R version 4.4.3 (2025-02-28),native 0-1 (no division),0.0,0.0,0.0,0.156669,True,1.0,True
eicu,primary_deep,2,20260807,deep_refit,bun;creatinine;urineoutput;crea_divide_basecrea,1417,29246,50,2000,50,556129.822358405,0.0,3,44,0.0310515172900494,0.999224114238116,0.503561527601271,1,0.843331;0.156669,897.013907194138,e4d5586a234e37402d6d6630953824052da2d9c773d4eb63a8bc9ad6fb89462d,5.8,R version 4.4.3 (2025-02-28),native 0-1 (no division),0.0,0.0,0.0,0.156669,True,1.0,True
eicu,primary_deep,3,20260805,deep_refit,bun;creatinine;urineoutput;crea_divide_basecrea,1417,29246,50,2000,50,555520.631084397,0.0,4,205,0.144671841919548,0.963911192639462,0.390042398432553,1,0.611150;0.300635;0.088215,992.322005033493,e4d5586a234e37402d6d6630953824052da2d9c773d4eb63a8bc9ad6fb89462d,5.8,R version 4.4.3 (2025-02-28),native 0-1 (no division),0.0,0.0,0.0,0.088215,True,1.0,True
eicu,primary_deep,3,20260806,deep_refit,bun;creatinine;urineoutput;crea_divide_basecrea,1417,29246,50,2000,50,706900.221531927,0.666666666666667,4,25,0.0176429075511644,0.999999999999967,0.0,1,0.755116;0.242061;0.002823,979.339618206024,e4d5586a234e37402d6d6630953824052da2d9c773d4eb63a8bc9ad6fb89462d,5.8,R version 4.4.3 (2025-02-28),native 0-1 (no division),1.0,1.0,1.4142135623730951,0.002823,False,2.0,False
eicu,primary_deep,3,20260807,deep_refit,bun;creatinine;urineoutput;crea_divide_basecrea,1417,29246,50,2000,50,707315.931454293,0.666666666666667,4,26,0.018348623853211,0.999999999999931,0.0,1,0.755116;0.242061;0.002823,967.975926399231,e4d5586a234e37402d6d6630953824052da2d9c773d4eb63a8bc9ad6fb89462d,5.8,R version 4.4.3 (2025-02-28),native 0-1 (no division),1.0,1.0,1.4142135623730951,0.002823,False,2.0,False
