cohort,scenario,seed,archived_patients,refit_patients,retained_fraction,label_mapping,exact_agreement,ari,nmi,uncertain_fraction,minimum_cluster_prevalence,mean_deviance,high_absolute_lag1_fraction,fit_status
mimic,complete_30_window_followup,20260805,4713,1159,0.24591555272650117,"{""1"": 3, ""2"": 2, ""3"": 1}",0.7420189818809318,0.41097075675540407,0.3684622918810896,0.0138050043140638,0.0025884383088869713,795687.730054281,0.666666666666667,CAUTION
mimic,complete_30_window_followup,20260806,4713,1159,0.24591555272650117,"{""1"": 3, ""2"": 2, ""3"": 1}",0.7532355478861087,0.4293225805907467,0.37326205930333217,0.0146678170836928,0.0025884383088869713,799337.625038186,0.666666666666667,CAUTION
mimic,complete_30_window_followup,20260807,4713,1159,0.24591555272650117,"{""1"": 1, ""2"": 2, ""3"": 3}",0.9318377911993098,0.8050479061940318,0.721751957061679,0.122519413287317,0.10181190681622088,625758.878833457,0.0,PASS
mimic,limited_forward_fill_complete_rows,20260805,4713,4705,0.9983025673668576,"{""1"": 3, ""2"": 2, ""3"": 1}",0.7842720510095643,0.4905855977472007,0.38719502490874436,0.0110520722635494,0.0012752391073326248,1847870.3632316,0.666666666666667,CAUTION
mimic,limited_forward_fill_complete_rows,20260806,4713,4705,0.9983025673668576,"{""1"": 1, ""2"": 2, ""3"": 3}",0.8637619553666313,0.6140455580447601,0.5134289291605433,0.100318809776833,0.09075451647183846,1398607.53749076,0.0,PASS
mimic,limited_forward_fill_complete_rows,20260807,4713,4705,0.9983025673668576,"{""1"": 1, ""2"": 2, ""3"": 3}",0.9685441020191285,0.9084532063810977,0.824215998962557,0.0845908607863975,0.07226354941551541,1398654.22783389,0.0,PASS
eicu,complete_30_window_followup,20260805,1417,386,0.27240649258997884,"{""1"": 3, ""2"": 2, ""3"": 1}",0.7098445595854922,0.3961509853715583,0.3885502734686284,0.0181347150259067,0.0025906735751295338,289941.739981678,0.333333333333333,CAUTION
eicu,complete_30_window_followup,20260806,1417,386,0.27240649258997884,"{""1"": 1, ""2"": 2, ""3"": 3}",0.917098445595855,0.7553149409797635,0.686983379357638,0.310880829015544,0.10103626943005181,229534.730414515,0.0,PASS
eicu,complete_30_window_followup,20260807,1417,386,0.27240649258997884,"{""1"": 3, ""2"": 2, ""3"": 1}",0.7150259067357513,0.39783830224818323,0.3830072381579725,0.0129533678756477,0.0025906735751295338,290157.405195325,0.333333333333333,CAUTION
eicu,limited_forward_fill_complete_rows,20260805,1417,1412,0.9964714184897672,"{""1"": 1, ""2"": 2, ""3"": 3}",0.9688385269121813,0.901909211988578,0.8431083295059044,0.160056657223796,0.08711048158640226,536262.537934792,0.0,PASS
eicu,limited_forward_fill_complete_rows,20260806,1417,1412,0.9964714184897672,"{""1"": 3, ""2"": 2, ""3"": 1}",0.7889518413597734,0.5356689837859365,0.4546949250708737,0.0240793201133144,0.0028328611898017,700856.643290994,0.666666666666667,CAUTION
eicu,limited_forward_fill_complete_rows,20260807,1417,1412,0.9964714184897672,"{""1"": 3, ""2"": 2, ""3"": 1}",0.7910764872521246,0.5401463920588578,0.45278978723547697,0.0205382436260623,0.0028328611898017,698486.117330407,0.666666666666667,CAUTION
aumc,exclude_documented_rrt,20260805,2183,1923,0.8808978469995419,"{""1"": 1, ""2"": 2, ""3"": 3}",0.7982319292771711,0.5070795338210194,0.4127832577211798,0.0104004160166407,0.0,583456.209801566,0.333333333333333,CAUTION
aumc,exclude_documented_rrt,20260806,2183,1923,0.8808978469995419,"{""1"": 1, ""2"": 2, ""3"": 3}",0.7940717628705148,0.4956897548989232,0.41517373044430955,0.0109204368174727,0.0,582384.653689061,0.333333333333333,CAUTION
aumc,exclude_documented_rrt,20260807,2183,1923,0.8808978469995419,"{""1"": 1, ""2"": 2, ""3"": 3}",0.9183567342693708,0.7975093560269588,0.6968865017754379,0.104524180967239,0.10764430577223089,465939.857687013,0.0,PASS
aumc,complete_30_window_followup,20260805,2183,543,0.24874026568941823,"{""1"": 1, ""2"": 2, ""3"": 3}",0.8029465930018416,0.5044032540625527,0.45217370615165453,0.0184162062615101,0.0,239143.548323194,0.333333333333333,CAUTION
aumc,complete_30_window_followup,20260806,2183,543,0.24874026568941823,"{""1"": 1, ""2"": 2, ""3"": 3}",0.8213627992633518,0.5577608410964315,0.5007132362659557,0.0147329650092081,0.0,241884.538131174,0.333333333333333,CAUTION
aumc,complete_30_window_followup,20260807,2183,543,0.24874026568941823,"{""1"": 1, ""2"": 2, ""3"": 3}",0.9558011049723757,0.8406013599079147,0.7821092977835248,0.125230202578269,0.0570902394106814,201010.53522789,0.0,PASS
