cohort,scenario,K,seed,features,patients,rows,burn,keep,thin,mean_deviance,high_absolute_lag1_fraction,uncertain_label,uncertain_patients,uncertain_fraction,median_max_posterior_probability,minimum_max_posterior_probability,maximum_max_posterior_probability,sorted_cluster_prevalence,elapsed_seconds,config_sha256,probability_scale,scaled_deviance,scaled_lag1_failure,historical_selection_score,rank_within_cohort_seed,selected_within_seed
aumc,primary,2,20260805,creatinine;urineoutput;crea_divide_basecrea,2183,48517,50,100,2,598413.106965837,0.0,3.0,67,0.0306917086578104,0.997330083928666,0.503625753347102,1,0.739808;0.260192,18.1785480976105,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.00967717544347858,0.0,0.00967717544347858,2.0,False
aumc,primary,2,20260806,creatinine;urineoutput;crea_divide_basecrea,2183,48517,50,100,2,598410.801069125,0.0,3.0,54,0.0247366010077874,0.997373509886326,0.50239421307451,1,0.743014;0.256986,18.7163000106812,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.010358429778098085,0.0,0.010358429778098085,2.0,False
aumc,primary,2,20260807,creatinine;urineoutput;crea_divide_basecrea,2183,48517,50,100,2,598411.375892919,0.0,3.0,63,0.0288593678424187,0.997190722344699,0.501922462541676,1,0.737975;0.262025,17.0766561031342,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.009168789904112627,0.0,0.009168789904112627,1.0,True
aumc,primary,3,20260805,creatinine;urineoutput;crea_divide_basecrea,2183,48517,50,100,2,597274.320957769,0.0,4.0,209,0.0957398076042144,0.970202441000041,0.39081828373374,1,0.625744;0.266606;0.107650,27.1157410144806,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.0,0.0,0.0,1.0,True
aumc,primary,3,20260806,creatinine;urineoutput;crea_divide_basecrea,2183,48517,50,100,2,597216.539505216,0.0,4.0,184,0.0842876775080165,0.974379071166893,0.348168496168059,1,0.641777;0.256528;0.101695,22.5767350196838,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.0,0.0,0.0,1.0,True
aumc,primary,3,20260807,creatinine;urineoutput;crea_divide_basecrea,2183,48517,50,100,2,597361.662317615,0.111111111111111,4.0,488,0.223545579477783,0.963126775738629,0.358115398984562,1,0.610169;0.245076;0.144755,26.7702250480652,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.0,0.15151515151515144,0.15151515151515144,2.0,False
aumc,primary,4,20260805,creatinine;urineoutput;crea_divide_basecrea,2183,48517,50,100,2,711827.153398272,0.708333333333333,5.0,45,0.0206138341731562,0.999999935468398,0.0,1,0.694457;0.163995;0.141090;0.000458,32.310613155365,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),0.9734470297496486,1.0,1.3955640865715961,4.0,False
aumc,primary,4,20260806,creatinine;urineoutput;crea_divide_basecrea,2183,48517,50,100,2,712510.226820079,0.708333333333333,5.0,50,0.0229042601923958,0.999999962964293,0.0,1,0.700870;0.158497;0.140174;0.000458,34.1105768680573,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),1.0,0.92391304347826,1.3614754172989174,3.0,False
aumc,primary,4,20260807,creatinine;urineoutput;crea_divide_basecrea,2183,48517,50,100,2,711849.352218021,0.708333333333333,5.0,37,0.0169491525423729,0.999999982808828,0.0,1,0.699954;0.160788;0.138800;0.000458,37.6839489936829,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),1.0,0.965909090909091,1.3903166444737785,4.0,False
aumc,primary,5,20260805,creatinine;urineoutput;crea_divide_basecrea,2183,48517,50,100,2,714951.841089464,0.633333333333333,6.0,96,0.0439761795693999,0.954863185152531,0.0,1,0.560696;0.191480;0.134219;0.113147;0.000458,36.4552609920502,143ec6ed7a3d2ee201f1d56b5b9abfab9395ae7258f3b944dcbab97841f93cba,native 0-1 (no division),1.0,0.8941176470588234,1.341434443713895,3.0,False
