cohort,cohort_label,outcome,analysis_population,model_variant,phenotype,group,standardized_risk,ci_low,ci_high,bootstrap_successes,bootstrap_failures
mimic,MIMIC-IV,mortality_28d,overall,primary_onset_nonrenal_sofa,DR,1,0.23486797098093834,0.20893311385392785,0.25739760821932706,300,0
mimic,MIMIC-IV,mortality_28d,overall,primary_onset_nonrenal_sofa,RR,2,0.09773734432537627,0.08815682121087158,0.1083245108050517,300,0
mimic,MIMIC-IV,mortality_28d,overall,primary_onset_nonrenal_sofa,PW,3,0.5029878599211184,0.45535667772086463,0.5496816655584902,300,0
mimic,MIMIC-IV,mortality_day8_28,day7_full_trajectory,primary_onset_nonrenal_sofa,DR,1,0.2550159710727126,0.21802411798472168,0.29240667266739,300,0
mimic,MIMIC-IV,mortality_day8_28,day7_full_trajectory,primary_onset_nonrenal_sofa,RR,2,0.1510481109143844,0.12537583143760833,0.18157298288689747,300,0
mimic,MIMIC-IV,mortality_day8_28,day7_full_trajectory,primary_onset_nonrenal_sofa,PW,3,0.4626520944673921,0.37044688450799457,0.5598929519538969,300,0
eicu,eICU-CRD,mortality_28d,overall,primary_onset_nonrenal_sofa,DR,1,0.12891459045424866,0.09744169197579469,0.1577838675040106,300,0
eicu,eICU-CRD,mortality_28d,overall,primary_onset_nonrenal_sofa,RR,2,0.07254271934369255,0.0570355754376743,0.09422362195349449,300,0
eicu,eICU-CRD,mortality_28d,overall,primary_onset_nonrenal_sofa,PW,3,0.3727638153295459,0.29144529777098105,0.4645258524125131,300,0
eicu,eICU-CRD,mortality_day8_28,day7_full_trajectory,primary_onset_nonrenal_sofa,DR,1,0.13613052567708703,0.08441697389631829,0.1795418066683842,300,0
eicu,eICU-CRD,mortality_day8_28,day7_full_trajectory,primary_onset_nonrenal_sofa,RR,2,0.067611410799506,0.03846667252426797,0.1010298765034747,300,0
eicu,eICU-CRD,mortality_day8_28,day7_full_trajectory,primary_onset_nonrenal_sofa,PW,3,0.16196978863128575,0.05763726907447412,0.2983471678176983,300,0
aumc,AUMC,mortality_28d,overall,primary_onset_nonrenal_sofa,DR,1,0.3035386189124969,0.26584082815972154,0.34446167482463386,300,0
aumc,AUMC,mortality_28d,overall,primary_onset_nonrenal_sofa,RR,2,0.1823252270530487,0.16427428679436953,0.20407753742725582,300,0
aumc,AUMC,mortality_28d,overall,primary_onset_nonrenal_sofa,PW,3,0.5251959379768961,0.4652111616400958,0.6022752355867318,300,0
aumc,AUMC,mortality_day8_28,day7_full_trajectory,primary_onset_nonrenal_sofa,DR,1,0.27291123117249116,0.22726058826191042,0.3257112069892349,300,0
aumc,AUMC,mortality_day8_28,day7_full_trajectory,primary_onset_nonrenal_sofa,RR,2,0.15047736814201237,0.12321165022239038,0.17633952217923304,300,0
aumc,AUMC,mortality_day8_28,day7_full_trajectory,primary_onset_nonrenal_sofa,PW,3,0.23761040677573472,0.15193795964964563,0.33132989280380065,300,0
