cohort,cohort_label,outcome,analysis_population,population_label,model_variant,comparison,group,reference_group,adjusted_or,ci_low,ci_high,p_value,n_population,n_complete,events,events_in_compared_group,events_in_reference_group,n_parameters,events_per_parameter,model_auc,converged,diagnostic_flag
mimic,MIMIC-IV,mortality_28d,overall,Full authoritative cohort,minimal_baseline,DR vs RR,1,2,3.1597156673031392,2.640351853457712,3.7812396424084485,3.627277582260241e-36,4713,4713,804,328,282,8,100.5,0.7328557710297323,True,PASS
mimic,MIMIC-IV,mortality_28d,overall,Full authoritative cohort,minimal_baseline,PW vs RR,3,2,11.681294831794832,9.145953860657471,14.919455206775725,2.6536211419662528e-86,4713,4713,804,194,282,8,100.5,0.7328557710297323,True,PASS
mimic,MIMIC-IV,mortality_28d,overall,Full authoritative cohort,primary_onset_nonrenal_sofa,DR vs RR,1,2,2.890382117439933,2.413830873917766,3.461016625103107,7.734351394739739e-31,4713,4713,804,328,282,9,89.33333333333333,0.7375555071915938,True,PASS
mimic,MIMIC-IV,mortality_28d,overall,Full authoritative cohort,primary_onset_nonrenal_sofa,PW vs RR,3,2,9.891474078454662,7.726459928730655,12.66314202716824,7.04345780544831e-74,4713,4713,804,194,282,9,89.33333333333333,0.7375555071915938,True,PASS
mimic,MIMIC-IV,mortality_day8_28,day7_all_survivors,Alive at day 7,primary_onset_nonrenal_sofa,DR vs RR,1,2,3.145263247292004,2.469810423414147,4.005441389744674,1.5427055581152336e-20,4277,4277,368,173,139,9,40.888888888888886,0.7236797468495223,True,PASS
mimic,MIMIC-IV,mortality_day8_28,day7_all_survivors,Alive at day 7,primary_onset_nonrenal_sofa,PW vs RR,3,2,5.963668763032211,4.165633240491191,8.537800392377425,1.7746864099207226e-22,4277,4277,368,56,139,9,40.888888888888886,0.7236797468495223,True,PASS
mimic,MIMIC-IV,mortality_day8_28,day7_full_trajectory,Alive at day 7 and observed through time 28,primary_onset_nonrenal_sofa,DR vs RR,1,2,1.9640637766098419,1.4384285836760249,2.681778269959452,2.1597947624104803e-05,1237,1237,269,120,99,9,29.88888888888889,0.6918146486835233,True,PASS
mimic,MIMIC-IV,mortality_day8_28,day7_full_trajectory,Alive at day 7 and observed through time 28,primary_onset_nonrenal_sofa,PW vs RR,3,2,5.1548920155009705,3.23569789937803,8.212420478618707,5.130377045854318e-12,1237,1237,269,50,99,9,29.88888888888889,0.6918146486835233,True,PASS
mimic,MIMIC-IV,is_rrt,overall,Full authoritative cohort,primary_onset_nonrenal_sofa,DR vs RR,1,2,7.6469079133356255,4.2628209638703005,13.717489223836457,8.915937256136351e-12,4713,4559,168,60,15,9,18.666666666666668,0.9060666569064428,True,PASS
mimic,MIMIC-IV,is_rrt,overall,Full authoritative cohort,primary_onset_nonrenal_sofa,PW vs RR,3,2,46.605287436497164,26.007002240577858,83.5180001503418,4.078499036579482e-38,4713,4559,168,93,15,9,18.666666666666668,0.9060666569064428,True,PASS
eicu,eICU-CRD,mortality_28d,overall,Full authoritative cohort,minimal_baseline,DR vs RR,1,2,2.095677106572707,1.4139238823173004,3.106152028364543,0.00022857756025522735,1417,1400,167,59,57,8,20.875,0.7217778554812516,True,PASS
eicu,eICU-CRD,mortality_28d,overall,Full authoritative cohort,minimal_baseline,PW vs RR,3,2,10.779430193201755,6.8209640106353255,17.03514563468379,2.3642435874715218e-24,1417,1400,167,51,57,8,20.875,0.7217778554812516,True,PASS
eicu,eICU-CRD,mortality_28d,overall,Full authoritative cohort,primary_onset_nonrenal_sofa,DR vs RR,1,2,1.9323132523148325,1.292651079248285,2.888509177003017,0.0013208108288446543,1417,1400,167,59,57,9,18.555555555555557,0.7454118526936395,True,PASS
eicu,eICU-CRD,mortality_28d,overall,Full authoritative cohort,primary_onset_nonrenal_sofa,PW vs RR,3,2,8.398264695094383,5.231764890239394,13.481272834040027,1.2214548787813045e-18,1417,1400,167,51,57,9,18.555555555555557,0.7454118526936395,True,PASS
eicu,eICU-CRD,mortality_day8_28,day7_all_survivors,Alive at day 7,primary_onset_nonrenal_sofa,DR vs RR,1,2,2.6226245170128673,1.4537690285247056,4.731260071083628,0.0013606162129618548,1309,1299,66,32,23,9,7.333333333333333,0.7470692324706925,True,CAUTION_LOW_EVENTS
