cohort,outcome,analysis_population,model_variant,n_population,n_complete,excluded_missing,excluded_missing_percent,variables_required
MIMIC-IV,mortality_28d,overall,minimal_baseline,4713,4713,0,0.0,"mortality_28d, groupHPD, age10, male, first_aki_stage, log_baseline_scr"
MIMIC-IV,mortality_28d,overall,primary_onset_nonrenal_sofa,4713,4713,0,0.0,"mortality_28d, groupHPD, age10, male, first_aki_stage, log_baseline_scr, onset_nonrenal_sofa"
MIMIC-IV,mortality_day8_28,day7_all_survivors,primary_onset_nonrenal_sofa,4277,4277,0,0.0,"mortality_day8_28, groupHPD, age10, male, first_aki_stage, log_baseline_scr, onset_nonrenal_sofa"
MIMIC-IV,mortality_day8_28,day7_full_trajectory,primary_onset_nonrenal_sofa,1237,1237,0,0.0,"mortality_day8_28, groupHPD, age10, male, first_aki_stage, log_baseline_scr, onset_nonrenal_sofa"
MIMIC-IV,is_rrt,overall,primary_onset_nonrenal_sofa,4713,4559,154,3.2675578187990664,"is_rrt, groupHPD, age10, male, first_aki_stage, log_baseline_scr, onset_nonrenal_sofa"
eICU-CRD,mortality_28d,overall,minimal_baseline,1417,1400,17,1.1997177134791814,"mortality_28d, groupHPD, age10, male, first_aki_stage, log_baseline_scr"
eICU-CRD,mortality_28d,overall,primary_onset_nonrenal_sofa,1417,1400,17,1.1997177134791814,"mortality_28d, groupHPD, age10, male, first_aki_stage, log_baseline_scr, onset_nonrenal_sofa"
eICU-CRD,mortality_day8_28,day7_all_survivors,primary_onset_nonrenal_sofa,1309,1299,10,0.7639419404125286,"mortality_day8_28, groupHPD, age10, male, first_aki_stage, log_baseline_scr, onset_nonrenal_sofa"
eICU-CRD,mortality_day8_28,day7_full_trajectory,primary_onset_nonrenal_sofa,501,494,7,1.3972055888223553,"mortality_day8_28, groupHPD, age10, male, first_aki_stage, log_baseline_scr, onset_nonrenal_sofa"
eICU-CRD,is_rrt,overall,primary_onset_nonrenal_sofa,1417,1417,0,0.0,"is_rrt, groupHPD, age10, male, first_aki_stage, log_baseline_scr, onset_nonrenal_sofa"
AUMC,mortality_28d,overall,minimal_baseline,2183,2134,49,2.244617498854787,"mortality_28d, groupHPD, age10, male, first_aki_stage, log_baseline_scr"
AUMC,mortality_28d,overall,primary_onset_nonrenal_sofa,2183,2134,49,2.244617498854787,"mortality_28d, groupHPD, age10, male, first_aki_stage, log_baseline_scr, onset_nonrenal_sofa"
AUMC,mortality_day8_28,day7_all_survivors,primary_onset_nonrenal_sofa,1892,1850,42,2.219873150105708,"mortality_day8_28, groupHPD, age10, male, first_aki_stage, log_baseline_scr, onset_nonrenal_sofa"
AUMC,mortality_day8_28,day7_full_trajectory,primary_onset_nonrenal_sofa,1116,1095,21,1.881720430107527,"mortality_day8_28, groupHPD, age10, male, first_aki_stage, log_baseline_scr, onset_nonrenal_sofa"
AUMC,is_rrt,overall,primary_onset_nonrenal_sofa,2183,2068,115,5.26797984425103,"is_rrt, groupHPD, age10, male, first_aki_stage, log_baseline_scr, onset_nonrenal_sofa"
