cohort,cohort_label,stage,phenotype,variable,used_in_archived_matching,max_absolute_pairwise_smd,worst_pair
mimic,MIMIC-IV,before_matching,DR,creatinine,True,0.19117769531402554,No diuretic vs Non-responsive
mimic,MIMIC-IV,before_matching,DR,urineoutput,True,0.6129262119960122,Non-responsive vs responsive
mimic,MIMIC-IV,before_matching,DR,sofa_norenal,True,0.16728308415265414,No diuretic vs Non-responsive
mimic,MIMIC-IV,before_matching,DR,colloid_bolus,True,0.11284595903549809,No diuretic vs Non-responsive
mimic,MIMIC-IV,before_matching,DR,age,False,0.4082749159215555,No diuretic vs Non-responsive
mimic,MIMIC-IV,before_matching,DR,male,False,0.20225405815917513,Non-responsive vs responsive
mimic,MIMIC-IV,before_matching,DR,weight,False,0.28547010978791865,Non-responsive vs responsive
mimic,MIMIC-IV,before_matching,DR,baseline_Scr,False,0.18405197738597753,No diuretic vs responsive
mimic,MIMIC-IV,before_matching,RR,creatinine,True,0.1509603390041551,No diuretic vs responsive
mimic,MIMIC-IV,before_matching,RR,urineoutput,True,0.576918683826622,Non-responsive vs responsive
mimic,MIMIC-IV,before_matching,RR,sofa_norenal,True,0.4393473445506432,No diuretic vs responsive
mimic,MIMIC-IV,before_matching,RR,colloid_bolus,True,0.26039511364665335,No diuretic vs Non-responsive
mimic,MIMIC-IV,before_matching,RR,age,False,0.2973279438184977,No diuretic vs Non-responsive
mimic,MIMIC-IV,before_matching,RR,male,False,0.07648701080929146,Non-responsive vs responsive
mimic,MIMIC-IV,before_matching,RR,weight,False,0.2531432776093127,Non-responsive vs responsive
mimic,MIMIC-IV,before_matching,RR,baseline_Scr,False,0.015713493521979226,Non-responsive vs responsive
mimic,MIMIC-IV,before_matching,PW,creatinine,True,0.19828845677965987,Non-responsive vs responsive
mimic,MIMIC-IV,before_matching,PW,urineoutput,True,0.5375977925359506,Non-responsive vs responsive
mimic,MIMIC-IV,before_matching,PW,sofa_norenal,True,0.09656565822976582,No diuretic vs Non-responsive
mimic,MIMIC-IV,before_matching,PW,colloid_bolus,True,0.1083247026644722,No diuretic vs Non-responsive
mimic,MIMIC-IV,before_matching,PW,age,False,0.3106584091847787,Non-responsive vs responsive
mimic,MIMIC-IV,before_matching,PW,male,False,0.24735852359352783,Non-responsive vs responsive
mimic,MIMIC-IV,before_matching,PW,weight,False,0.2473487235507101,No diuretic vs responsive
mimic,MIMIC-IV,before_matching,PW,baseline_Scr,False,0.45477572057064714,Non-responsive vs responsive
mimic,MIMIC-IV,after_matching,DR,creatinine,True,0.10868403447891856,No diuretic vs Non-responsive
mimic,MIMIC-IV,after_matching,DR,urineoutput,True,0.1573192691966879,No diuretic vs Non-responsive
mimic,MIMIC-IV,after_matching,DR,sofa_norenal,True,0.14672559462381699,No diuretic vs responsive
mimic,MIMIC-IV,after_matching,DR,colloid_bolus,True,0.18635400808990277,Non-responsive vs responsive
mimic,MIMIC-IV,after_matching,DR,age,False,0.4322456163953278,No diuretic vs Non-responsive
