pmid,year,title,authors,journal,doi,publication_types,language,abstract,pubmed_url
42569970,2026,"How I Teach ICU Triage: A Three-Column Framework for Premorbid, Morbid, and Postmorbid Assessment.",Teng A; Tan YH,ATS scholar,10.1093/atsscholar/aapag048,Journal Article,eng,"Intensive care unit (ICU) triage is a cognitively complex and emotionally charged task that challenges clinicians across training levels. Although trainees may recognise prognostic factors and ethical principles, many lack a coherent structure to integrate these elements into a defensible real-time assessment. We describe a three-domain triage framework - Premorbid, Morbid, and Postmorbid - designed to support structured reasoning during ICU triage, particularly for on-call senior residents and clinicians who do not practice critical care routinely. The framework is taught through case-based discussions embedded in routine clinical care within a high-volume medical ICU at a large tertiary hospital. The Premorbid domain considers baseline physiologic reserve, including functional status, prolonged hospitalization, nutritional state, and irreversible comorbidities. The Morbid domain focuses on the present illness, emphasizing etiologic diagnosis and recoverability, and the burden of ICU syndromes such as shock, respiratory failure, and acute kidney injury. The Postmorbid domain guides learners to translate these assessments into a set of realistic outcome trajectories, supporting clearer prognostication and communication. By providing a shared language for discussions among senior residents, intensivists, and referring teams, the framework offers a practical cognitive scaffold for organizing complex information under pressure. Rather than eliminating uncertainty, the Premorbid-Morbid-Postmorbid framework provides trainees with a reproducible method to reason through uncertainty, communicate transparently and approach ICU triage with greater clarity and confidence.",https://pubmed.ncbi.nlm.nih.gov/42569970/
42565116,2026,Use of [TIMP-2] • [IGFBP7] to identify sepsis-related acute kidney injury in the emergency department.,Cisteró B; Monforte V; Navas A; Tomasa-Irriguible TM; Camprubí-Rimblas M; Areny-Balagueró A; Campaña-Duel E; Martin I; Tomas A; Miñarro I; Vila M; Cuevas M; Teles T; Savone M; Stable C; Salom P; Guijarro C; Tajan J; Goma G; Diaz E; Blanch L; Gene E; Ostermann M; Kellum JA; Honore PM; Artigas A; Ceccato A,Annals of intensive care,10.1016/j.aicoj.2026.100119,Journal Article,eng,"Acute kidney injury (AKI) is a common and harmful syndrome associated with sepsis. It is difficult to predict and has an adverse impact on both short- and long-term prognosis. Two urinary biomarkers, tissue inhibitor of metalloproteinases-2 (TIMP-2), and insulin-like growth factor-binding protein 7 (IGFBP7) have been validated for predicting moderate and severe AKI and improving the recognition of organ failure in critically ill patients with sepsis. We aimed to evaluate the performance of these markers for predicting sepsis-related AKI and its evolution in a cohort of patients admitted to the Emergency Department with infectious disease and high risk of sepsis. This single-centre, prospective, observational study included adult patients presenting to the Emergency Department (ED) with suspected infection. Patients were included in the study if they had a National Early Warning Score 2 (NEWS 2) of 3 or higher. Three blood samples were drawn during the first 24 h, and we defined AKI according to the Kidney Disease: Improving Global Outcomes (KDIGO) definition. The first urine sample during ED stay was collected for urinary [TIMP-2]•[ IGFBP7] determination. Higher admission levels of urinary [TIMP-2]•[IGFBP7] were associated with the development of AKI moderate-severe within 24 h (adjusted Odds Ratio 1.24; 95% Confidence Interval 1.07-1.43; p < 0.01). The biomarker showed only modest overall discrimination (AUC 0.67). Still, predefined cut-offs revealed complementary diagnostic roles: low values (<0.3) may help exclude AKI with a negative predictive value of 0.86, whereas the highest values (>2.0) increase its likelihood. Creatinine trajectories and inflammatory profiles were largely similar across groups, except for elevations in IL-10 and IL-1RN in high-risk patients. In conclusion, urinary [TIMP-2]•[IGFBP7] measured on presentation to the ED had only moderate discrimination for sepsis-associated AKI. However, values (<0.3 units) could help to rule out the risk of developing AKI, while values >2.0 indicated high risk.",https://pubmed.ncbi.nlm.nih.gov/42565116/
42552846,2026,The Landscape of Biomarkers in ICU-Associated AKI: From Protein Markers to Cell-Free Nucleic Acids.,Zhu Q; Yang F; Zheng H; Guo X; Chen Z; Chen L; Wang D; Wang J; Wang X; Huang Z; Ji Z,Journal of clinical laboratory analysis,10.1002/jcla.70311,Journal Article; Review,eng,"Acute kidney injury (AKI) affects approximately 30%-60% of intensive care unit (ICU) admissions, but early detection remains difficult because creatinine- and urine-output-based KDIGO criteria are delayed and confounded in critical illness. To summarize the biomarker landscape for ICU-associated AKI, focusing on kidney-targeted injury/stress proteins and circulating cell-free DNA (cfDNA), including mitochondrial DNA (mtDNA). PubMed/MEDLINE and Embase were searched from inception to December 31, 2025, using terms related to AKI, critical illness, NGAL, KIM-1, IL-18, L-FABP, [TIMP-2]·[IGFBP7], cfDNA, mtDNA, and damage-associated molecular patterns. Adult ICU studies reporting diagnostic performance, risk stratification, or clinically relevant outcomes were prioritized, especially in sepsis, cardiac surgery, shock, and trauma. NGAL, KIM-1, IL-18, L-FABP, and [TIMP-2]·[IGFBP7] often rise before creatinine or urine-output changes, providing early kidney-proximal signals of tubular injury or stress. cfDNA/mtDNA instead reflects systemic cell death, mitochondrial damage, and innate immune activation, capturing multi-organ injury and adding prognostic information beyond clinical scores and creatinine. Across ICU phenotypes, combining clinical risk, an early kidney-targeted marker, and cfDNA/mtDNA may improve identification of patients at risk for severe AKI, renal replacement therapy, and death. Multimarker strategies may widen the diagnostic window and sharpen prognostication in ICU-associated AKI. Routine implementation will require standardized pre-analytical handling, assay harmonization, biomarker-guided pragmatic trials, and trajectory-based decision tools that demonstrate clinical benefit.",https://pubmed.ncbi.nlm.nih.gov/42552846/
42537430,2026,Safety and outcomes of dapagliflozin initiation in critically ill patients with acute kidney injury: A post-hoc analysis of the defender trial.,Zampieri FG; Bagshaw SM; Batista MC; Favaro L; Rea-Neto Á; Campos NS; Amendola CP; Kozesinski-Nakatani AC; David-João PG; Lobo SM; Filiponi TC; Almeida GMB; Bergo RR; Guimarães-Júnior MRR; Figueiredo RC; Pereira AJ; Corrêa TD; Serpa-Neto A; Berwanger O; Azevedo LCP; Tavares CAM,Journal of critical care,10.1016/j.jcrc.2026.155701,Journal Article,eng,"SGLT2 inhibitor use in acute kidney injury (AKI) is controversial due to concerns about hemodynamic instability. We evaluated dapagliflozin initiation in critically ill patients with AKI enrolled in the DEFENDER trial. Among 212 patients with AKI at enrollment (100 dapagliflozin, 112 control), we compared 28-day mortality, kidney replacement therapy (KRT), and composite death/KRT. Adjusted risk differences were estimated controlling for age, sepsis, baseline vasopressor use, and creatinine. Physiological trajectories (creatinine, urine output, fluid balance, acid-base parameters) over days 1-5 were analyzed using mixed models. Likelihood ratios quantified compatibility with clinically meaningful harm or benefit. Event rates were similar: 28-day mortality 38% vs 40%, KRT 12% vs 18%, composite 41% vs 42% (dapagliflozin vs control). Adjusted risk differences were - 1.9% (95% CI -14.5 to 10.7) for death, -7.4% (-16.2 to 1.5) for KRT, and - 0.9% (-13.6 to 11.8) for the composite. Physiological trajectories showed no divergence suggestive of hemodynamic or metabolic instability. Likelihood ratios provided limited separation: at 5% absolute effect threshold, LR against harm was 1.47 and against benefit 1.19. Dapagliflozin initiation in critically ill patients with AKI was not associated with excess mortality, KRT, or physiological derangement. The near-neutral evidential profile indicates neither moderate harm nor benefit can be excluded, supporting feasibility of dedicated trials of SGLT2 inhibitors in AKI.",https://pubmed.ncbi.nlm.nih.gov/42537430/
42513240,2026,Artificial Intelligence for Perioperative Risk Prediction and Prevention in Cardiac Surgery: A Narrative Review and Proposed Conceptual Framework.,Magouliotis DE; Sicouri S; Androutsopoulou V; Bekiaridou A; Baudo M; Athanasiou T; Xanthopoulos A; Prendergast GC; Ramlawi B,Journal of clinical medicine,10.3390/jcm15145325,Journal Article; Review,eng,"Cardiac surgery remains a high-risk, resource-intensive domain in which perioperative complications significantly influence clinical outcomes, institutional performance, and healthcare expenditure. Despite advances in technique and protocol standardization, contemporary perioperative management largely relies on static risk stratification and reactive quality assessment. This narrative review synthesizes the current evidence on artificial intelligence (AI) and machine learning for perioperative risk prediction in cardiac surgery, spanning acute kidney injury, mortality, prolonged mechanical ventilation, postoperative atrial fibrillation, and intensive care unit deterioration, and critically appraises the methodological limitations, validation gaps, and fairness concerns that constrain clinical translation. Across these applications, predictive models have demonstrated incremental discrimination over conventional risk scores, yet remain predominantly endpoint-specific, single-institution, and disconnected from prospective clinical implementation. Building on this evidence, we propose Preventive Cardiovascular Intelligence (PCInt) as one possible organizing framework that integrates predictive analytics, dynamic risk trajectory modeling, and structured quality improvement methodologies, and we outline how such a framework might be operationalized across the surgical lifecycle. PCInt is presented as a conceptual proposal requiring prospective validation rather than as a validated system. We conclude by discussing implementation barriers, regulatory and ethical considerations, and priorities for future research toward anticipatory, value-based perioperative cardiovascular care.",https://pubmed.ncbi.nlm.nih.gov/42513240/
42512767,2026,Rethinking Congestion in Heart Failure from Volume Overload to Venous Pressure and Organ Disfunction with VExUS.,Marchetta M; Granata LG; Napoli AR; Cipolla F; Sangiorgi GM; Francese GM; Giubilato S,"Medicina (Kaunas, Lithuania)",10.3390/medicina62071224,Journal Article; Review,eng,"Congestion is a major driver of symptoms, hospitalization, and adverse outcomes in heart failure (HF), yet its clinical assessment remains challenging. Traditional approaches based on physical examination, biomarkers, and isolated imaging surrogates often fail to capture the complexity of systemic venous congestion and its impact on organ function. In HF, congestion should be interpreted as a multifactorial process resulting from the interaction between intravascular volume burden, venous compliance, cardiac filling pressures, neurohormonal activation, blood volume redistribution, and organ-specific susceptibility. In this context, point-of-care ultrasound has emerged as a promising adjunctive tool for bedside congestion assessment. The Venous Excess Ultrasound (VExUS) score integrates inferior vena cava assessment with Doppler analysis of hepatic, portal, and intrarenal veins, allowing for the evaluation of venous pressure transmission and organ-level congestion. Observational studies suggest that VExUS and related venous Doppler abnormalities correlate with invasive hemodynamic parameters and are associated with acute kidney injury, diuretic response, heart failure hospitalization, and mortality. Serial changes in venous congestion may provide additional information regarding treatment response and clinical trajectory. However, the available evidence remains heterogeneous across acute HF, ambulatory HF, cardiorenal syndrome, and critical care populations, and randomized trials evaluating VExUS-guided management are lacking. Therefore, VExUS should be interpreted as a complementary tool within a multimodal assessment that includes echocardiography, lung ultrasound, biomarkers, renal function, urine output, physical examination, and response to therapy. By integrating fluid burden with venous pressure transmission and organ perfusion, multimodal ultrasound may support more individualized congestion assessment and risk stratification in HF.",https://pubmed.ncbi.nlm.nih.gov/42512767/
42506422,2026,Liver-Metabolic Phenotypes and Renal Vulnerability in Community-Acquired Sepsis: Insights from the SepsisFAT Cohort.,Šamadan Marković L; Panić H; Krznarić J; Gjurašin B; Papić N,Metabolites,10.3390/metabo16070468,Journal Article,eng,"Background: Metabolic-dysfunction-associated steatotic liver disease (MASLD) is associated with adverse outcomes in sepsis, but risk stratification within MASLD remains insufficiently defined. We investigated whether an admission liver-metabolic phenotype framework combining cardiometabolic burden with liver injury/fibroinflammatory risk markers identifies clinically relevant organ-support vulnerability in community-acquired sepsis. Methods: This secondary analysis of the prospective SepsisFAT cohort (378 adults with community-acquired sepsis) classified patients into four phenotypes by cardiometabolic burden (≥2 of: diabetes, hypertension, dyslipidemia, BMI ≥ 30 kg/m2) and liver-risk positivity (FIB-4 ≥ 2.67, APRI ≥ 1.0, liver stiffness ≥ 10 kPa, or FAST ≥ 0.55). The primary outcome was acute kidney injury (AKI), while continuous renal replacement therapy (CRRT), other organ-support outcomes and in-hospital mortality were secondary endpoints. Results: Phenotype distribution was Low-risk 137 (36.2%), Cardiometabolic-only 84 (22.2%), Liver-dominant 88 (23.3%), and Mixed liver-cardiometabolic 69 (18.3%). AKI and CRRT increased across phenotypes (13.9% to 40.6% and 5.1% to 26.1%, respectively), and in-hospital mortality was highest in the Mixed phenotype (26.1%). After Firth-penalized adjustment for age, sex, and admission SOFA, the Mixed phenotype remained independently associated with AKI (aOR 2.82, 95% CI 1.37-5.90) and CRRT (aOR 3.87, 1.50-10.80), confirmed in non-renal SOFA and admission eGFR-adjusted sensitivity analyses. Cardiometabolic burden alone did not confer excess organ-support risk. The same gradient persisted within the MASLD subgroup. Conclusions: Admission liver-metabolic phenotyping identified a renal-vulnerable sepsis subgroup not captured by binary MASLD classification alone. These findings support prospective, multicenter external validation of liver-metabolic phenotyping as a pragmatic approach to renal risk stratification in community-acquired sepsis.",https://pubmed.ncbi.nlm.nih.gov/42506422/
42505553,2026,Administratively Defined Functional Vulnerability and Adverse Short-Term Outcomes in Older Adults Hospitalized with Crohn's Disease Flares: A Propensity-Matched Multicenter Cohort Study.,Albusta N; Abdulla M; Bosta A; Almarzooq R,"Diseases (Basel, Switzerland)",10.3390/diseases14070225,Journal Article,eng,"Functional vulnerability may identify older adults hospitalized with Crohn's disease flares who are at increased risk for adverse outcomes, but its prognostic significance in this setting remains incompletely defined. We evaluated the association between administratively defined functional vulnerability, identified using administrative diagnostic codes, and short-term clinical outcomes among adults aged ≥65 years hospitalized with Crohn's disease flares. We conducted a retrospective cohort study using the TriNetX US Collaborative Research Network through February 2026. Functional vulnerability was identified using ICD-10-CM codes for frailty, sarcopenia, cachexia, abnormal weight loss, muscle weakness, gait/mobility abnormalities, or reduced mobility within 12 months before or during the index hospitalization. Patients coded only for nonspecific weakness or fatigue were excluded from the functional vulnerability cohort. Patients underwent 1:1 propensity score matching using demographic, comorbidity, Crohn's disease-related, medication, nutritional, and laboratory variables. The primary outcome was 30-day all-cause mortality. Among 18,420 eligible patients, 2846 met criteria for functional vulnerability, and 15,574 did not. After matching, 2720 patients remained in each cohort. Functional vulnerability was associated with higher 30-day mortality (RR 1.61, 95% CI 1.21-2.14), 90-day mortality (RR 1.40, 95% CI 1.14-1.72), bowel surgery (RR 1.29, 95% CI 1.07-1.56), sepsis (RR 1.41, 95% CI 1.18-1.68), acute kidney injury (RR 1.26, 95% CI 1.10-1.44), ICU admission (RR 1.32, 95% CI 1.13-1.55), TPN use (RR 1.47, 95% CI 1.20-1.79), and 90-day readmission (RR 1.17, 95% CI 1.07-1.29). Functionally vulnerable patients also had longer hospital stays (8.9 vs. 6.7 days; mean difference 2.2 days, 95% CI 1.9-2.5). Administratively defined functional vulnerability identified through diagnostic coding was associated with worse short-term outcomes among older adults hospitalized with Crohn's disease flares. Although functional vulnerability is a recognized predictor of adverse outcomes across hospitalized populations broadly, these findings quantify its prognostic significance specifically in Crohn's disease flare hospitalizations and suggest that functional vulnerability may identify a high-risk geriatric IBD phenotype that could benefit from early multidisciplinary assessment, nutritional optimization, rehabilitation planning, and post-discharge care coordination.",https://pubmed.ncbi.nlm.nih.gov/42505553/
42494444,2026,"Cell and extracellular vesicle therapies for AKI in critical care: clinical translation, organ-support integration, and lessons learned.",Salybekov AA; Kinzhebay A; Zhanymbetova A; Kobayashi S,Frontiers in medicine,10.3389/fmed.2026.1818060,Journal Article; Review,eng,"Acute kidney injury (AKI) affects up to half of critically ill intensive care unit (ICU) patients and remains associated with high mortality despite advances in renal replacement therapy (RRT). Current management is largely supportive and does not modify the underlying biological mechanisms driving inflammation, microvascular dysfunction, and maladaptive repair. Regenerative approaches using mesenchymal stromal cells (MSCs) and extracellular vesicles (EVs) have emerged as potential adjunctive therapies aimed at promoting renal recovery beyond organ support. Preclinical studies consistently demonstrate that MSCs and MSC-derived EVs reduce inflammation, attenuate oxidative stress, preserve tubular integrity, and enhance microvascular repair through paracrine signaling. However, early clinical trials in post-operative, sepsis-associated AKI populations have shown safety but limited efficacy signals. These neutral outcomes likely reflect AKI heterogeneity, delayed intervention timing, non-enriched patient selection, and reliance on insensitive endpoints such as serum creatinine. EV-based therapies offer practical advantages over whole-cell approaches, including scalable manufacturing, off-the-shelf availability, and easier integration into ICU workflows. Future progress requires phenotype-enriched enrollment strategies, biomarker-guided therapeutic windows, harmonized EV dosing and potency assays, and kidney-specific endpoints such as dialysis-free days.",https://pubmed.ncbi.nlm.nih.gov/42494444/
42493645,2026,Pediatric sepsis-associated acute kidney injury: leveraging pathophysiology for risk stratification and identification of treatable traits.,Clover-Brown I; Fuhrman DY; Stanski NL,"Pediatric nephrology (Berlin, Germany)",10.1007/s00467-026-07487-0,Journal Article; Review,eng,"Sepsis-associated acute kidney injury (SA-AKI) is a common and morbid complication of pediatric critical illness that affects up to half of children with septic shock and is associated with independent risk for death and new disability. Once attributed primarily to systemic hypotension, SA-AKI is now recognized as a heterogeneous syndrome driven by diverse pathophysiologic mechanisms, including immune dysregulation, endothelial injury, microcirculatory alterations, mitochondrial dysfunction, metabolic reprogramming, and renin-angiotensin-aldosterone system (RAAS) derangement. This pathophysiologic complexity demands a precision medicine approach to improve risk stratification, diagnosis, and treatment. Precision medicine in SA-AKI relies on the identification of phenotypes, subphenotypes, endotypes, and treatable traits, distinct but complementary frameworks for characterizing patients by clinical features and underlying biology. Prognostic enrichment strategies, including novel biomarkers, clinical risk scores, and data-driven subphenotype models, are increasingly available to identify children at highest risk for persistent severe AKI, receipt of kidney replacement therapy, and death. Predictive enrichment strategies, designed to optimize therapy based on underlying pathophysiology, remain limited but are emerging. In this review, we summarize contemporary knowledge of pediatric SA-AKI pathophysiology, highlight clinical tools evaluated specifically in children, and outline a framework for translating mechanistic insights into actionable precision medicine strategies at the bedside.",https://pubmed.ncbi.nlm.nih.gov/42493645/
